id,type,name,name_zh,name_en,latitude,longitude,elevation,prominence,wikipedia,wikidata,description
12468291586,summit_board,雲峰東北峰,雲峰東北峰,Yunfengdongbeifeng,23.3707096,120.988288,,,,,
12468292709,summit_board,雲海山,雲海山,Yunhaishan,24.9514455,121.6373574,560,,,,無基石，無視野
12468292478,summit_board,雲載山,雲載山,Yunzaishan,23.5326519,120.6929521,1634,,,,
12468292554,summit_board,零功廟山,零功廟山,Linggongmiaoshan,24.5663645,120.854437,,,,,
12468292631,summit_board,雷公岩,雷公岩,Leigongyan,24.947447,121.4413061,,,,,
12468294876,summit_board,霞山,霞山,Xiashan,23.4199059,120.8213925,2400.17,,,Q31603299,
12468294912,summit_board,霞山,霞山,Xiashan,24.6018432,121.2179611,2166.98,,,Q31603287,
12468294437,summit_board,霞山東南峰,霞山東南峰,Xiashandongnanfeng,24.5998937,121.2203922,2180.00,,,,
12468293026,summit_board,霞迭爾山,霞迭爾山,Mt. Xiadie'er,22.7038634,120.7619487,2022,,,Q31603270,
12468291894,summit_board,霧台山,霧台山,Mt. Wutai,22.7491285,120.7398748,952.35,,,Q31621006,
12468292157,summit_board,霧台山南峰,霧台山南峰,Wutaishannanfeng,22.7448924,120.7434342,1054,,,,
12468295251,summit_board,霧峰奧山,霧峰奧山,Wufengaoshan,24.04671,120.77661,483,,,,
12468291926,summit_board,霧覽山,霧覽山,Wulanshan,24.4344861,121.4725283,2471.38,,,Q31593999,
12468294063,summit_board,霧里乙南山,霧里乙南山,Wuliyinanshan,22.3056601,120.6916212,747.29,,,,
12468293188,summit_board,霧里乙山東北峰,霧里乙山東北峰,Wuliyishandongbeifeng,22.3189853,120.7057329,1026.00,,,,
12468294908,summit_board,霧頭山,霧頭山,Mt. Wutou,22.6930329,120.7866877,2735.59,,,Q31593697,
12468291912,summit_board,露門山,露門山,Lumenshan,24.7973763,121.5674858,1461,,,Q31600937,
12468292437,summit_board,霹靂山,霹靂山,Pilishan,23.4948801,120.7114018,1865,,,,
12492290001,summit_board,靈山,靈山,Lingshan,22.9136609,120.5229241,364.2,,,,
12492290002,summit_board,靈山基點峰,,,22.9114315,120.5228453,318.3,,,,
12492290004,summit_board,靈山東峰,,,22.9128212,120.5247198,324.1,,,,
12828483118,summit_board,青倉山,,,23.214253,120.6228662,626,,,,
12468292482,summit_board,青園山,青園山,Qingyuanshan,23.5186593,120.6493291,1437,,,,
12468291643,summit_board,青園山北峰,,,23.5199418,120.6475889,1400,,,,
12468291428,summit_board,青埔庄,,,24.9642001,121.1389916,111,,,,
12468293599,summit_board,青子窩,青子窩,Qingziwo,24.5237874,120.74565,165.87,,,,
12492290005,summit_board,青春嶺,,,22.9121432,120.5285466,206.5,,,,
12468294753,summit_board,青木山,青木山,Qingmushan,24.0052709,121.3304199,1960.08,,,Q31605415,
12468293863,summit_board,青林山,青林山,Qinglinshan,24.9998129,121.7561523,491.59,,,,
12468294326,summit_board,青潭山,青潭山,Qingtanshan,23.883022,120.8272819,540.00,,,,
12468292502,summit_board,青獅山,青獅山,Qingshishan,24.9233876,121.5401535,,,,Q31392080,
12468291489,summit_board,青番頭坑山,,,23.9857919,120.8799398,480,,,,
12468293926,summit_board,青草山,青草山,Qingcaoshan,24.7145256,120.8720163,41.08,,,,
12468294048,summit_board,青蛇山,青蛇山,Qingsheshan,22.0597689,121.5429596,441.72,,,Q31605403,
12774552973,summit_board,青螺,青螺,,23.6035732,119.6507541,22,,,,
12468292877,summit_board,青龍嶺,青龍嶺,Qinglongling,24.9734782,121.468224,,,,,
12468293062,summit_board,青龍嶺,青龍嶺,Qinglongling,25.0003814,121.4031705,267,,,,
12468293367,summit_board,靜埔,靜埔,Jingpu,23.4598137,121.4971941,67.57,,,,
12468291416,summit_board,靜觀山,,,24.0737734,121.2306801,2241,,,,
12468291969,summit_board,面埔頂山,面埔頂山,Mianpudingshan,24.8170826,121.1440627,295,,,,
12468291964,summit_board,面天山,面天山,Mt. Miantian,25.1742942,121.5051299,979.86,,zh:面天山,Q10566034,
13319324596,summit_board,面天山,面天山,Mt. Miantian,25.1742911,121.5051198,979.86,,zh:面天山,Q10566034,
12468292030,summit_board,面托油山,面托油山,Miantuoyoushan,24.5676372,121.1342912,1798.31,,,Q31600255,
12468292031,summit_board,面托油山北峰,面托油山北峰,Miantuoyoushanbeifeng,24.5888497,121.1285818,1280.00,,,,
12468294426,summit_board,面托油山南峰,面托油山南峰,Miantuoyoushannanfeng,24.5592666,121.1326977,1360.00,,,,
12468294428,summit_board,面托油山西南峰,面托油山西南峰,Miantuoyoushanxinanfeng,24.5557336,121.1138584,1080.00,,,,
12468294430,summit_board,面托油山西峰,面托油山西峰,Miantuoyoushanxifeng,24.5672095,121.1140861,1020.00,,,,
12468293679,summit_board,面桶寮山,面桶寮山,Miantongliaoshan,24.724962,121.0550289,203.33,,,Q31392033,
12468294534,summit_board,鞍輪名山,鞍輪名山,Anlunmingshan,23.1849829,120.6808367,1660.59,,,Q31610136,
12468293021,summit_board,鞍馬山,鞍馬山,Anmashan,24.2699483,121.0132027,2666,,,,
12468291639,summit_board,鞍馬山東北峰,,,24.2736738,121.0228185,2715,,,,
12468293393,summit_board,頂公館山,頂公館山,Dinggongguanshan,23.018614,120.5147899,320.12,,,,
12468293781,summit_board,頂坑山,頂坑山,Dingkengshan,25.0578679,121.8311493,370.47,,,,
12468294091,summit_board,頂坑山,頂坑山,Dingkengshan,23.4637455,120.5429251,249.92,,,Q31392291,
12468291609,summit_board,頂坪林山,頂坪林山,Dingpinglinshan,23.2470797,120.641073,775.5,,,,
12468294322,summit_board,頂城山,頂城山,Dingchengshan,23.8698289,120.9654907,980.00,,,,
12468293525,summit_board,頂埔山,頂埔山,Dingpushan,24.2890619,120.827179,545.89,,,,
12468294113,summit_board,頂埔山,頂埔山,Dingpushan,23.4056349,120.5251766,212,,,Q31392295,
12468293055,summit_board,頂子寮山,頂子寮山,Dingziliaoshan,25.0628044,121.7685874,550,,,Q31617453,山頂有顆無名基石
12468293694,summit_board,頂寮山,頂寮山,Dingliaoshan,24.6571359,120.9956447,188.84,,,,
12468292013,summit_board,頂山,頂山,Mt. Ding,25.1488453,121.5938593,767.87,,,,
12468294073,summit_board,頂山,頂山,Dingshan,23.0049735,120.3209276,77.96,,,Q31392544,
12468293142,summit_board,頂山溪山,頂山溪山,Mt. Dingshanxi,25.1398521,121.5942177,640.00,,,,
12468292832,summit_board,頂山西南峰,頂山西南峰,Mt. Ding Southwest Peak,25.1473395,121.5932888,740,,,,
12468291593,summit_board,頂河表湖山,頂河表湖山,Dinghebiaohushan,23.281681,120.6535148,743.92,,,,
12468293099,summit_board,頂湖山,頂湖山,Mt. Dinghu,25.1625667,121.5264767,662.00,,,,
12503875017,summit_board,頂猴洞山,頂猴洞山,Dinghoudongshan,24.0324455,120.975758,985,,,,
12468292063,summit_board,頂笨子山,頂笨子山,Dingbenzishan,23.4155225,120.7158771,1679.56,,,Q31620080,
12468291492,summit_board,頂草湳,,,23.9384308,120.9138566,718,,,,
12468293969,summit_board,頂荖濃山,頂荖濃山,Dinglaonongshan,23.0809268,120.6681318,621.70,,,,
12468291808,summit_board,順承門 澎湖廳三角點 4,順承門 澎湖廳三角點 4,,23.5630278,119.5618611,38,,,,
12468294782,summit_board,頭凍山,頭凍山,Toudongshan,23.3958094,120.6049433,1286.39,,,Q31619749,
